,Survived,Sex,Age
0,-1,1,22.0
1,1,0,38.0
2,1,0,26.0
3,1,0,35.0
4,-1,1,35.0
6,-1,1,54.0
7,-1,1,2.0
8,1,0,27.0
9,1,0,14.0
10,1,0,4.0
11,1,0,58.0
12,-1,1,20.0
13,-1,1,39.0
14,-1,0,14.0
15,1,0,55.0
16,-1,1,2.0
18,-1,0,31.0
20,-1,1,35.0
21,1,1,34.0
22,1,0,15.0
23,1,1,28.0
24,-1,0,8.0
25,1,0,38.0
27,-1,1,19.0
30,-1,1,40.0
33,-1,1,66.0
34,-1,1,28.0
35,-1,1,42.0
37,-1,1,21.0
38,-1,0,18.0
39,1,0,14.0
40,-1,0,40.0
41,-1,0,27.0
43,1,0,3.0
44,1,0,19.0
49,-1,0,18.0
50,-1,1,7.0
51,-1,1,21.0
52,1,0,49.0
53,1,0,29.0
54,-1,1,65.0
56,1,0,21.0
57,-1,1,28.5
58,1,0,5.0
59,-1,1,11.0
60,-1,1,22.0
61,1,0,38.0
62,-1,1,45.0
63,-1,1,4.0
66,1,0,29.0
67,-1,1,19.0
68,1,0,17.0
69,-1,1,26.0
70,-1,1,32.0
71,-1,0,16.0
72,-1,1,21.0
73,-1,1,26.0
74,1,1,32.0
75,-1,1,25.0
78,1,1,0.83
79,1,0,30.0
80,-1,1,22.0
81,1,1,29.0
83,-1,1,28.0
84,1,0,17.0
85,1,0,33.0
86,-1,1,16.0
88,1,0,23.0
89,-1,1,24.0
90,-1,1,29.0
91,-1,1,20.0
92,-1,1,46.0
93,-1,1,26.0
94,-1,1,59.0
96,-1,1,71.0
97,1,1,23.0
98,1,0,34.0
99,-1,1,34.0
100,-1,0,28.0
102,-1,1,21.0
103,-1,1,33.0
104,-1,1,37.0
105,-1,1,28.0
106,1,0,21.0
108,-1,1,38.0
110,-1,1,47.0
111,-1,0,14.5
112,-1,1,22.0
113,-1,0,20.0
114,-1,0,17.0
115,-1,1,21.0
116,-1,1,70.5
117,-1,1,29.0
118,-1,1,24.0
119,-1,0,2.0
120,-1,1,21.0
122,-1,1,32.5
123,1,0,32.5
124,-1,1,54.0
125,1,1,12.0
127,1,1,24.0
129,-1,1,45.0
130,-1,1,33.0
131,-1,1,20.0
132,-1,0,47.0
133,1,0,29.0
134,-1,1,25.0
135,-1,1,23.0
136,1,0,19.0
137,-1,1,37.0
138,-1,1,16.0
139,-1,1,24.0
141,1,0,22.0
142,1,0,24.0
143,-1,1,19.0
144,-1,1,18.0
145,-1,1,19.0
146,1,1,27.0
147,-1,0,9.0
148,-1,1,36.5
149,-1,1,42.0
150,-1,1,51.0
151,1,0,22.0
152,-1,1,55.5
153,-1,1,40.5
155,-1,1,51.0
156,1,0,16.0
157,-1,1,30.0
160,-1,1,44.0
161,1,0,40.0
162,-1,1,26.0
163,-1,1,17.0
164,-1,1,1.0
165,1,1,9.0
167,-1,0,45.0
169,-1,1,28.0
170,-1,1,61.0
171,-1,1,4.0
172,1,0,1.0
173,-1,1,21.0
174,-1,1,56.0
175,-1,1,18.0
177,-1,0,50.0
178,-1,1,30.0
179,-1,1,36.0
182,-1,1,9.0
183,1,1,1.0
184,1,0,4.0
187,1,1,45.0
188,-1,1,40.0
189,-1,1,36.0
190,1,0,32.0
191,-1,1,19.0
192,1,0,19.0
193,1,1,3.0
194,1,0,44.0
195,1,0,58.0
197,-1,1,42.0
199,-1,0,24.0
200,-1,1,28.0
202,-1,1,34.0
203,-1,1,45.5
204,1,1,18.0
205,-1,0,2.0
206,-1,1,32.0
207,1,1,26.0
208,1,0,16.0
209,1,1,40.0
210,-1,1,24.0
211,1,0,35.0
212,-1,1,22.0
213,-1,1,30.0
215,1,0,31.0
216,1,0,27.0
217,-1,1,42.0
218,1,0,32.0
219,-1,1,30.0
220,1,1,16.0
221,-1,1,27.0
222,-1,1,51.0
224,1,1,38.0
225,-1,1,22.0
226,1,1,19.0
227,-1,1,20.5
228,-1,1,18.0
230,1,0,35.0
231,-1,1,29.0
232,-1,1,59.0
233,1,0,5.0
234,-1,1,24.0
236,-1,1,44.0
237,1,0,8.0
238,-1,1,19.0
239,-1,1,33.0
242,-1,1,29.0
243,-1,1,22.0
244,-1,1,30.0
245,-1,1,44.0
246,-1,0,25.0
247,1,0,24.0
248,1,1,37.0
249,-1,1,54.0
251,-1,0,29.0
252,-1,1,62.0
253,-1,1,30.0
254,-1,0,41.0
255,1,0,29.0
257,1,0,30.0
258,1,0,35.0
259,1,0,50.0
261,1,1,3.0
262,-1,1,52.0
263,-1,1,40.0
265,-1,1,36.0
266,-1,1,16.0
267,1,1,25.0
268,1,0,58.0
269,1,0,35.0
271,1,1,25.0
272,1,0,41.0
273,-1,1,37.0
275,1,0,63.0
276,-1,0,45.0
278,-1,1,7.0
279,1,0,35.0
280,-1,1,65.0
281,-1,1,28.0
282,-1,1,16.0
283,1,1,19.0
285,-1,1,33.0
286,1,1,30.0
287,-1,1,22.0
288,1,1,42.0
289,1,0,22.0
290,1,0,26.0
291,1,0,19.0
292,-1,1,36.0
293,-1,0,24.0
294,-1,1,24.0
296,-1,1,23.5
297,-1,0,2.0
299,1,0,50.0
302,-1,1,19.0
305,1,1,0.92
307,1,0,17.0
308,-1,1,30.0
309,1,0,30.0
310,1,0,24.0
311,1,0,18.0
312,-1,0,26.0
313,-1,1,28.0
314,-1,1,43.0
315,1,0,26.0
316,1,0,24.0
317,-1,1,54.0
318,1,0,31.0
319,1,0,40.0
320,-1,1,22.0
321,-1,1,27.0
322,1,0,30.0
323,1,0,22.0
325,1,0,36.0
326,-1,1,61.0
327,1,0,36.0
328,1,0,31.0
329,1,0,16.0
331,-1,1,45.5
332,-1,1,38.0
333,-1,1,16.0
336,-1,1,29.0
337,1,0,41.0
338,1,1,45.0
339,-1,1,45.0
340,1,1,2.0
341,1,0,24.0
342,-1,1,28.0
343,-1,1,25.0
344,-1,1,36.0
345,1,0,24.0
346,1,0,40.0
348,1,1,3.0
349,-1,1,42.0
350,-1,1,23.0
352,-1,1,15.0
353,-1,1,25.0
355,-1,1,28.0
356,1,0,22.0
357,-1,0,38.0
360,-1,1,40.0
361,-1,1,29.0
362,-1,0,45.0
363,-1,1,35.0
365,-1,1,30.0
366,1,0,60.0
369,1,0,24.0
370,1,1,25.0
371,-1,1,18.0
372,-1,1,19.0
373,-1,1,22.0
374,-1,0,3.0
376,1,0,22.0
377,-1,1,27.0
378,-1,1,20.0
379,-1,1,19.0
380,1,0,42.0
381,1,0,1.0
382,-1,1,32.0
383,1,0,35.0
385,-1,1,18.0
386,-1,1,1.0
387,1,0,36.0
389,1,0,17.0
390,1,1,36.0
391,1,1,21.0
392,-1,1,28.0
393,1,0,23.0
394,1,0,24.0
395,-1,1,22.0
396,-1,0,31.0
397,-1,1,46.0
398,-1,1,23.0
399,1,0,28.0
400,1,1,39.0
401,-1,1,26.0
402,-1,0,21.0
403,-1,1,28.0
404,-1,0,20.0
405,-1,1,34.0
406,-1,1,51.0
407,1,1,3.0
408,-1,1,21.0
412,1,0,33.0
414,1,1,44.0
416,1,0,34.0
417,1,0,18.0
418,-1,1,30.0
419,-1,0,10.0
421,-1,1,21.0
422,-1,1,29.0
423,-1,0,28.0
424,-1,1,18.0
426,1,0,28.0
427,1,0,19.0
429,1,1,32.0
430,1,1,28.0
432,1,0,42.0
433,-1,1,17.0
434,-1,1,50.0
435,1,0,14.0
436,-1,0,21.0
437,1,0,24.0
438,-1,1,64.0
439,-1,1,31.0
440,1,0,45.0
441,-1,1,20.0
442,-1,1,25.0
443,1,0,28.0
445,1,1,4.0
446,1,0,13.0
447,1,1,34.0
448,1,0,5.0
449,1,1,52.0
450,-1,1,36.0
452,-1,1,30.0
453,1,1,49.0
455,1,1,29.0
456,-1,1,65.0
458,1,0,50.0
460,1,1,48.0
461,-1,1,34.0
462,-1,1,47.0
463,-1,1,48.0
465,-1,1,38.0
467,-1,1,56.0
469,1,0,0.75
471,-1,1,38.0
472,1,0,33.0
473,1,0,23.0
474,-1,0,22.0
476,-1,1,34.0
477,-1,1,29.0
478,-1,1,22.0
479,1,0,2.0
480,-1,1,9.0
482,-1,1,50.0
483,1,0,63.0
484,1,1,25.0
486,1,0,35.0
487,-1,1,58.0
488,-1,1,30.0
489,1,1,9.0
491,-1,1,21.0
492,-1,1,55.0
493,-1,1,71.0
494,-1,1,21.0
496,1,0,54.0
498,-1,0,25.0
499,-1,1,24.0
500,-1,1,17.0
501,-1,0,21.0
503,-1,0,37.0
504,1,0,16.0
505,-1,1,18.0
506,1,0,33.0
508,-1,1,28.0
509,1,1,26.0
510,1,1,29.0
512,1,1,36.0
513,1,0,54.0
514,-1,1,24.0
515,-1,1,47.0
516,1,0,34.0
518,1,0,36.0
519,-1,1,32.0
520,1,0,30.0
521,-1,1,22.0
523,1,0,44.0
525,-1,1,40.5
526,1,0,50.0
528,-1,1,39.0
529,-1,1,23.0
530,1,0,2.0
532,-1,1,17.0
534,-1,0,30.0
535,1,0,7.0
536,-1,1,45.0
537,1,0,30.0
539,1,0,22.0
540,1,0,36.0
541,-1,0,9.0
542,-1,0,11.0
543,1,1,32.0
544,-1,1,50.0
545,-1,1,64.0
546,1,0,19.0
548,-1,1,33.0
549,1,1,8.0
550,1,1,17.0
551,-1,1,27.0
553,1,1,22.0
554,1,0,22.0
555,-1,1,62.0
556,1,0,48.0
558,1,0,39.0
559,1,0,36.0
561,-1,1,40.0
562,-1,1,28.0
565,-1,1,24.0
566,-1,1,19.0
567,-1,0,29.0
569,1,1,32.0
570,1,1,62.0
571,1,0,53.0
572,1,1,36.0
574,-1,1,16.0
575,-1,1,19.0
576,1,0,34.0
577,1,0,39.0
579,1,1,32.0
580,1,0,25.0
581,1,0,39.0
582,-1,1,54.0
583,-1,1,36.0
585,1,0,18.0
586,-1,1,47.0
587,1,1,60.0
588,-1,1,22.0
590,-1,1,35.0
591,1,0,52.0
592,-1,1,47.0
594,-1,1,37.0
595,-1,1,36.0
597,-1,1,49.0
599,1,1,49.0
600,1,0,24.0
603,-1,1,44.0
604,1,1,35.0
605,-1,1,36.0
606,-1,1,30.0
607,1,1,27.0
608,1,0,22.0
609,1,0,40.0
610,-1,0,39.0
614,-1,1,35.0
615,1,0,24.0
616,-1,1,34.0
617,-1,0,26.0
618,1,0,4.0
619,-1,1,26.0
620,-1,1,27.0
621,1,1,42.0
622,1,1,20.0
623,-1,1,21.0
624,-1,1,21.0
625,-1,1,61.0
626,-1,1,57.0
627,1,0,21.0
628,-1,1,26.0
630,1,1,80.0
631,-1,1,51.0
632,1,1,32.0
634,-1,0,9.0
635,1,0,28.0
636,-1,1,32.0
637,-1,1,31.0
638,-1,0,41.0
640,-1,1,20.0
641,1,0,24.0
642,-1,0,2.0
644,1,0,0.75
645,1,1,48.0
646,-1,1,19.0
647,1,1,56.0
649,1,0,23.0
651,1,0,18.0
652,-1,1,21.0
654,-1,0,18.0
655,-1,1,24.0
657,-1,0,32.0
658,-1,1,23.0
659,-1,1,58.0
660,1,1,50.0
661,-1,1,40.0
662,-1,1,47.0
663,-1,1,36.0
664,1,1,20.0
665,-1,1,32.0
666,-1,1,25.0
668,-1,1,43.0
670,1,0,40.0
671,-1,1,31.0
672,-1,1,70.0
673,1,1,31.0
675,-1,1,18.0
676,-1,1,24.5
677,1,0,18.0
678,-1,0,43.0
679,1,1,36.0
681,1,1,27.0
682,-1,1,20.0
683,-1,1,14.0
684,-1,1,60.0
685,-1,1,25.0
686,-1,1,14.0
687,-1,1,19.0
688,-1,1,18.0
689,1,0,15.0
690,1,1,31.0
691,1,0,4.0
693,-1,1,25.0
694,-1,1,60.0
695,-1,1,52.0
696,-1,1,44.0
698,-1,1,49.0
699,-1,1,42.0
700,1,0,18.0
701,1,1,35.0
702,-1,0,18.0
703,-1,1,25.0
704,-1,1,26.0
705,-1,1,39.0
706,1,0,45.0
707,1,1,42.0
708,1,0,22.0
710,1,0,24.0
712,1,1,48.0
713,-1,1,29.0
714,-1,1,52.0
715,-1,1,19.0
716,1,0,38.0
717,1,0,27.0
719,-1,1,33.0
720,1,0,6.0
721,-1,1,17.0
722,-1,1,34.0
723,-1,1,50.0
724,1,1,27.0
725,-1,1,20.0
726,1,0,30.0
728,-1,1,25.0
729,-1,0,25.0
730,1,0,29.0
731,-1,1,11.0
733,-1,1,23.0
734,-1,1,23.0
735,-1,1,28.5
736,-1,0,48.0
737,1,1,35.0
741,-1,1,36.0
742,1,0,21.0
743,-1,1,24.0
744,1,1,31.0
745,-1,1,70.0
746,-1,1,16.0
747,1,0,30.0
748,-1,1,19.0
749,-1,1,31.0
750,1,0,4.0
751,1,1,6.0
752,-1,1,33.0
753,-1,1,23.0
754,1,0,48.0
755,1,1,0.67
756,-1,1,28.0
757,-1,1,18.0
758,-1,1,34.0
759,1,0,33.0
761,-1,1,41.0
762,1,1,20.0
763,1,0,36.0
764,-1,1,16.0
765,1,0,51.0
767,-1,0,30.5
769,-1,1,32.0
770,-1,1,24.0
771,-1,1,48.0
772,-1,0,57.0
774,1,0,54.0
775,-1,1,18.0
777,1,0,5.0
779,1,0,43.0
780,1,0,13.0
781,1,0,17.0
782,-1,1,29.0
784,-1,1,25.0
785,-1,1,25.0
786,1,0,18.0
787,-1,1,8.0
788,1,1,1.0
789,-1,1,46.0
791,-1,1,16.0
794,-1,1,25.0
795,-1,1,39.0
796,1,0,49.0
797,1,0,31.0
798,-1,1,30.0
799,-1,0,30.0
800,-1,1,34.0
801,1,0,31.0
802,1,1,11.0
803,1,1,0.42
804,1,1,27.0
805,-1,1,31.0
806,-1,1,39.0
807,-1,0,18.0
808,-1,1,39.0
809,1,0,33.0
810,-1,1,26.0
811,-1,1,39.0
812,-1,1,35.0
813,-1,0,6.0
814,-1,1,30.5
816,-1,0,23.0
817,-1,1,31.0
818,-1,1,43.0
819,-1,1,10.0
820,1,0,52.0
821,1,1,27.0
822,-1,1,38.0
823,1,0,27.0
824,-1,1,2.0
827,1,1,1.0
829,1,0,62.0
830,1,0,15.0
831,1,1,0.83
833,-1,1,23.0
834,-1,1,18.0
835,1,0,39.0
836,-1,1,21.0
838,1,1,32.0
840,-1,1,20.0
841,-1,1,16.0
842,1,0,30.0
843,-1,1,34.5
844,-1,1,17.0
845,-1,1,42.0
847,-1,1,35.0
848,-1,1,28.0
850,-1,1,4.0
851,-1,1,74.0
852,-1,0,9.0
853,1,0,16.0
854,-1,0,44.0
855,1,0,18.0
856,1,0,45.0
857,1,1,51.0
858,1,0,24.0
860,-1,1,41.0
861,-1,1,21.0
862,1,0,48.0
864,-1,1,24.0
865,1,0,42.0
866,1,0,27.0
867,-1,1,31.0
869,1,1,4.0
870,-1,1,26.0
871,1,0,47.0
872,-1,1,33.0
873,-1,1,47.0
874,1,0,28.0
875,1,0,15.0
876,-1,1,20.0
877,-1,1,19.0
879,1,0,56.0
880,1,0,25.0
881,-1,1,33.0
882,-1,0,22.0
883,-1,1,28.0
884,-1,1,25.0
885,-1,0,39.0
886,-1,1,27.0
887,1,0,19.0
889,1,1,26.0
890,-1,1,32.0
